star_name,right_ascension,declination,distance,temperature,luminosity,spectral_type
Star-0,134.8344427850505,-80.69729018965062,177.2457124414429,12770.653991863284,75826.34376658266,B
Star-1,342.2571503075698,5.643833682266639,285.80443564163903,4247.013582069527,2458.789187188505,K
Star-2,263.51781905210584,7.314321889819173,185.24037943397934,11527.465449220474,2212.4529405445724,F
Star-3,215.5170543109332,24.73738226967718,97.81550841948506,30402.953365575533,32361.08955393221,G
Star-4,56.16671055927715,40.69644007007908,129.4295123895948,22806.953877847405,48864.37017614753,G
Star-5,56.158027321032954,85.65337430325623,466.1709803523985,44955.57042061782,77040.76474003753,B
Star-6,20.910100380551807,2.934062694215156,214.2703812217346,41419.84740170672,68329.56933111286,O
Star-7,311.82341247897665,-31.867834870575727,370.62716243759473,19065.41552980017,44590.326047404196,F
Star-8,216.40140422755516,53.13351505836666,508.3830981463083,15192.901371270747,27362.739265499957,G
Star-9,254.90612800657638,-41.25019477282664,693.4908803430717,20845.543183861544,99712.4503033211,B
Star-10,7.410417946488881,-10.985144272985501,48.91901844268795,30743.862298195963,42618.18760546707,G
Star-11,349.16754677831796,-75.87785135839212,801.4162949199522,15598.991118675183,45138.75729426511,M
Star-12,299.6793506881518,-85.43686618521765,631.6213855959987,32334.9986689093,16362.465756784799,F
Star-13,76.44207984417942,83.2767146420265,90.94144162938319,22242.3476529883,79480.97539403806,F
Star-14,65.45698819455622,60.47642169219705,874.8428378657095,28946.217500043073,69368.25320992628,M
Star-15,66.02562354723618,35.27535709686563,921.663676526495,23497.946869359883,22077.03920191476,A
Star-16,109.52720746543358,-16.388470005431422,70.46718025631512,16839.89069847013,8238.196323479708,M
Star-17,188.91231538760562,-58.80702238724776,284.10887166573167,47577.30542722136,68049.9621575411,K
Star-18,155.50020671116167,-61.84133231920451,808.1392669951307,38889.47232550876,65451.15597699209,K
Star-19,104.8424904712951,-44.95627833037284,750.7770934798218,9585.319261023269,27326.02537386823,B
Star-20,220.2670421000566,8.860799647101684,192.67580916281355,43817.9948672019,95086.3611386848,F
Star-21,50.21778983473506,38.62726608601122,217.2558301033432,25909.266317727142,15105.874072300845,A
Star-22,105.17207347267853,28.83552780919163,376.76738176346817,45043.9546640223,43233.53687078009,A
Star-23,131.890263585729,-39.61189854973029,489.6777553391111,40593.19702952381,94361.59765516786,G
Star-24,164.18519431813294,81.87575051937493,622.072223814993,22985.034710053973,41972.78971988054,G
Star-25,282.6633461014849,42.82144500523833,375.2245031740747,4056.0574910455175,63852.63091381379,M
Star-26,71.88256157700951,9.783729452052123,467.90936897181643,15627.835891092465,39759.50003683963,A
Star-27,185.1243978289002,20.109734322183403,749.9962287524189,28456.808089060745,27421.592813346768,M
Star-28,213.26924479033528,-14.471988762997816,46.31637086169192,32773.47633182892,98397.76639821802,M
Star-29,16.72214857919918,-45.408421889791654,259.9125749005805,15120.721215360507,40933.45969810367,G
Star-30,218.7161466845178,-25.924917842772913,716.2160900257069,9549.735481422735,89409.93095799307,F
Star-31,61.38868452742495,46.41229988358644,896.2547693103273,42241.72112956706,22995.537593648027,M
Star-32,23.418573474700626,-87.40917204664395,516.5606676945094,49266.90249306695,21310.549092037927,O
Star-33,341.59879341119995,-69.10692470875507,536.7923504126625,27707.438568226233,3113.5051750428474,F
Star-34,347.62753190684134,-81.7195244360845,116.10029122637829,11068.926434870264,65166.717370905964,A
Star-35,291.023045321926,-82.66881558258538,452.9382431552201,15798.44434641034,36852.69751974174,A
Star-36,109.66095690241345,63.9829051219813,537.2910937904729,3864.3617977309364,86435.83854813872,M
Star-37,35.161961042298195,36.658414688404264,250.04579859838236,45972.043908343454,47321.04334816505,F
Star-38,246.32388954437647,-4.648710764281465,276.55079863988715,8534.300895836634,96819.34597212938,G
Star-39,158.45489774625648,-72.38985108281973,383.5113214735764,30096.27434916992,18552.633017760545,G
Star-40,43.93376454412038,-1.5091424789701757,29.870485799949105,15880.595372298681,86862.32993324428,K
Star-41,178.26368764005727,-4.775081259498178,328.8583739273465,29046.36611824229,77659.7076194889,A
Star-42,12.379867601478622,-58.82366341619727,219.3335269265792,33616.75825253762,77092.20737222073,B
Star-43,327.3553447483615,-11.906703137164854,334.2223786561355,41997.86477423848,84478.33833336594,K
Star-44,93.1607933760061,-18.26914780847278,128.5645105010587,12701.79977274835,76102.42299190079,G
Star-45,238.5080223674335,20.853017649398964,891.622007932496,3516.8039469485825,62622.06954110937,F
Star-46,112.21598739218794,24.316857156175885,597.6565290185082,9433.624613233942,13124.574643750988,G
Star-47,187.22448762401189,-81.84527824103199,682.3112959530447,45300.87616686094,3252.7146965072425,F
Star-48,196.81570056358066,-22.56972936723518,791.2795262212649,44072.833645438215,92084.7926967839,K
Star-49,66.54760398918974,22.654784828562548,503.4577769397667,31078.41580200449,61665.06978704235,A
Star-50,349.0504659952411,0.5645265444157865,96.05108520654946,31224.29244038171,79653.74944388853,G
Star-51,279.04781641000125,64.16817141389801,541.7354764003622,34256.723703674004,48152.28699901985,M
Star-52,338.2196189631081,28.5648536914101,590.9727068406703,11242.45009530213,11730.90716542055,F
Star-53,322.1378461539536,-60.671803125342656,747.9850794424867,45977.36145847311,12518.666701675824,A
Star-54,215.24399237199066,-77.29762546792263,437.3429507673826,22682.214669927438,68556.5601663684,B
Star-55,331.8747246083221,25.63547007713681,136.30449976760812,21007.51082772638,43030.64645935678,F
Star-56,31.85730073869102,-85.22796410250807,290.93814674073724,27389.132148293364,20052.552617561,K
Star-57,70.55383047089227,15.439604629223393,369.45147343464873,5207.400438427587,49159.50551468901,B
Star-58,16.281824007793702,79.24144345649236,649.4580689182852,10815.318331535733,6420.987286619701,B
