planet_name,star_name,planet_radius,planet_mass,orbital_period,star_temperature,habitable_zone
Exo-0,Star-103,18.635328278811222,7.4404630202765505,81.25190907001684,5599.859973550985,False
Exo-1,Star-436,1.873114551566106,5.7741934076481485,326.1082139343301,4860.957956580194,False
Exo-2,Star-861,4.573914993499524,9.977156897646049,163.63680651208537,7522.630864237556,False
Exo-3,Star-271,13.587298578068987,7.548790888384345,295.5417055039256,6495.336844850328,False
Exo-4,Star-107,7.493612235275196,7.099106566310245,217.19012773685614,4862.134946037665,False
Exo-5,Star-72,5.456191156859906,7.807862196602436,492.19135229404907,4044.6644456512327,True
Exo-6,Star-701,6.258166474169306,1.5169670569298492,75.64074069111531,3890.3983388121474,True
Exo-7,Star-21,6.78973990265271,2.1249914723776864,232.83469972126926,9052.622744982924,True
Exo-8,Star-615,17.049061001031152,7.169234414013781,340.5478565533033,4704.345778834071,True
Exo-9,Star-122,3.1641159631195617,4.9904167225955405,198.37699685610437,7561.9745353767785,False
Exo-10,Star-467,14.323764439747313,7.5708893894151545,487.3752260834742,8674.801495903865,False
Exo-11,Star-215,11.2799895497042,1.1188687043670358,361.2219263355406,7298.569178293153,True
Exo-12,Star-331,6.281947801132071,5.411165379697488,328.834944924682,9016.95662152862,False
Exo-13,Star-459,8.685726700702391,3.8503334990134657,378.77257453800047,5746.756050699321,False
Exo-14,Star-88,5.496035400091932,4.624302170888615,476.3716703813198,9693.555334542638,True
Exo-15,Star-373,12.42451736188077,6.079182933517874,454.00150783933543,3932.0150292466788,True
Exo-16,Star-100,2.091086517804687,5.072654639879048,362.41836875507954,3715.0467076027667,False
Exo-17,Star-872,0.6011048240927421,5.444620307417083,374.8316579115403,7610.845023452105,False
Exo-18,Star-664,12.743941091498403,4.914939071756518,73.81511494353758,9599.817989892832,True
Exo-19,Star-131,4.2883420934848235,4.148656253146383,52.29340984184018,8662.184231454297,True
Exo-20,Star-662,1.8833478814985893,7.741631607922627,285.881346420238,3534.91801606636,True
Exo-21,Star-309,8.237284630670823,0.22081041594864073,10.16545083332946,4955.573997543014,False
Exo-22,Star-770,1.4899863552682402,6.024582741931748,241.69583439424417,9512.232193864766,True
Exo-23,Star-344,17.78903440453787,5.698532638497441,105.96444037951544,4771.409029605492,True
Exo-24,Star-492,1.0385270515372418,7.190172839856227,173.66226725477495,8468.192966508435,False
Exo-25,Star-414,11.787865462397395,6.030390711295532,388.12656316068507,8775.925371500927,False
Exo-26,Star-806,9.050245398852695,8.285308395309876,470.6775146119609,6468.164724226873,False
Exo-27,Star-386,13.604509638256388,9.594840466183875,37.13571980102441,5704.442368938208,False
Exo-28,Star-192,6.898977015757272,3.49099014606758,267.5868607822461,6150.871026938317,False
Exo-29,Star-956,3.5233115261910117,2.3507747319968715,441.3842094239804,4588.752860557549,True
Exo-30,Star-277,19.645897322055355,4.293608937962781,42.171758685770214,9225.73641290191,True
Exo-31,Star-161,16.859203290352585,2.950503203109689,412.43250940152006,6154.337597108305,False
Exo-32,Star-460,17.277890057077666,6.188007605211279,179.5428741132074,9177.2160831927,False
Exo-33,Star-314,5.379901530059349,9.127338847545351,161.72525640744834,3739.8543593439185,False
Exo-34,Star-22,1.2572773213737525,1.4772503220163125,488.7557267710781,9917.92689700092,False
Exo-35,Star-253,6.413677536127845,1.0978665698572763,101.22868584128479,6102.911612105328,False
Exo-36,Star-748,10.97310733033478,2.634553765351256,346.9037764705178,3334.8157427587385,True
Exo-37,Star-857,6.869699215022798,7.288346302017768,410.89892327692337,3266.1529376621843,True
Exo-38,Star-561,16.643445573857978,5.970332762062334,21.550564144356567,8223.45080237287,True
Exo-39,Star-475,5.795086858484967,1.111905375829476,335.5223437188517,7613.248739425765,True
Exo-40,Star-59,19.32241069262001,9.19563017038139,475.8234372033082,8614.913906893113,False
Exo-41,Star-511,9.416670651467706,7.921837907528459,62.98576339730162,3737.572737669642,True
Exo-42,Star-682,16.919449962733637,0.3279237873976114,448.2144300398341,3248.9960692488385,False
Exo-43,Star-476,4.290410662900024,6.548535388783637,297.7935420510911,6560.055026133049,False
Exo-44,Star-700,8.521401148605232,7.735342018345406,308.6856863493745,5713.166620379387,False
Exo-45,Star-976,14.14048810996028,3.806910160232178,306.8591432579374,6233.628556696691,True
Exo-46,Star-783,3.1978853021471263,0.782323239735466,150.11910728231962,9941.118862091918,False
Exo-47,Star-190,3.0885357337379116,0.8654785483389938,467.66570583443036,9795.249703694692,True
Exo-48,Star-958,19.4059689087261,1.132044963912914,473.72788085288835,9596.20772771235,True
Exo-49,Star-687,14.434604531509066,8.420352356606188,313.02702544676,8486.898737373716,False
Exo-50,Star-958,1.300816576973578,9.11579336273156,391.92794024486574,5483.889521798233,False
Exo-51,Star-563,8.277007578173494,1.3158267402727646,306.5167349546978,5884.916511839401,False
Exo-52,Star-876,8.95365438282447,2.435469742491304,242.71482533944626,6847.3123060324715,True
Exo-53,Star-567,15.00883153848275,1.7386530526361688,330.7492390313261,8813.74119483388,False
Exo-54,Star-244,5.391780283259894,1.9445767069917947,276.9477248433873,3480.9898276278745,True
Exo-55,Star-832,4.0945066494617155,8.391158811124672,299.1404554533331,5970.0782011942165,False
Exo-56,Star-505,2.0770228490353544,3.388249485283896,392.1324441560121,3578.323644214881,False
Exo-57,Star-131,8.852132261332102,3.183298214051848,240.97101189304345,6602.603106014581,True
Exo-58,Star-485,13.925748064924644,2.3512166466834152,21.33629894014391,9292.305768043647,True
Exo-59,Star-819,1.6347751124146503,6.118154498563161,82.83574101375912,8477.394471947566,True
